comentario,cluster_final,categoria_tema,tema_cluster,sentimento_cluster
"imaginem oque vai ser o debate em 2026, Lula e Bolsonaro acusavam um ao outro sem mostrar provas, assim como tambem não se dedendiam das acusações, agora imaginem o renan no debate, acusando todo mundo e mostrando as provas, e o principalmente, ninguem vai ter nada para acusa ele, ele não foi citado e nem tem parente citado no rombo/roubo do INSS, rombo/roubo dos Correios, não tem filho bandido, não foi citado no caso do Banco Master..",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Quem tá ansioso pelo debate de 2026 ???,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
"auto promocao, ataques pessoais e fake news(um show de horrores)",4,outros,Desempenho e propostas das candidatas no debate,negativo
a Soraya tendo que baixar o nivel (triste. nossa educacao publica foi desmantelada),4,outros,Desempenho e propostas das candidatas no debate,negativo
2:06:59 a parte mais engraçada que certamente vc deve tá procurando kk,1,outros,Reações e humor a momentos do debate presidencial,misto
Alguém em 2026?  Kkk😂😂,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
Não acredito que caio seja de direita.  Ele sempre fala bem da tabata Amaral e sempre falou naqueles programinhas da jovem pan,6,outros,Críticas a candidatos e alianças políticas,negativo
Eu vendo isso despois que o lula quebrou o Brasil novamente.,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Nunca de esqueçam do que esse homem fez. Nunca se esqueçam do que ele falava, dos ataques que fazia, da violência com que atacava milhões de brasileiros. Nunca se esqueçam. Não acreditem na imagem do Zé Soluço indefeso. Que apodreça na cadeia.",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Daqui 1 ano tem essa música de novo  😂 quem está vendo em outubro de 2025 kkkkkkk  gosto ano de eleição copa do mundo carnaval,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
"Ninguém tira o mérito do Bolsonario, ele foi o governo que  salvou os mais pobres na pandemia com o auxílio emergencial.",-1,,,
Bolsonaro Fez um imenso esforço pra Perder,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
1:12:48 Banana para o povo brasileiro,1,outros,Reações e humor a momentos do debate presidencial,misto
LULA JANTOU ESSE GADO LOUCO =,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
OS GADOS BOLSONARISTAS FICAM TUDO DOIDOS KKK FOI TACA NESSA ELEICAO QUE O BOISONARO LEVOU,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
O que esse lula mente não tá escrito.,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Bater meu ponto em 2025 aq pra rir,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
Cadê a ebc na pesquisa?,-1,,,
Pq o ciro pode dizer da fraqueijada e o bolsonaro n pd falsr sobre a maior missao da esposa do ciro?,6,outros,Críticas a candidatos e alianças políticas,negativo
Voltei aqui pra olhar todas as promessas e mentiras do ex presidiário lula,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
